what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674598142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674611744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674617314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674621804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674623631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674629869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674629989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523674649640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523674668592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674671272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523674671292
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674678126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674679126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674680526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674684926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674686536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674688136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674688996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674694827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674697976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674699161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674707502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523674713673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674714263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523674714293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674715083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674724779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674733375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674733465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1523674734755
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523674746096
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1523674746416
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523674754046
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523674754826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674797020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523674797050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674811544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523674813074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674814254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674815124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674832698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523674843319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674844179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674845059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674856843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523674889716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674890796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674891606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674893506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674901687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674903011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674906450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674910300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523674932596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523674934206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1523674938817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674945087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674946988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674956828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674959049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.print",1523674959099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1523674960359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674972710
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523674973170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523674973470
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1523674973480
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523674981068
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523675037073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523675039393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523675041033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523675059757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523675061267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1523675073248
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523675084589
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1523675084879
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523675092554
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523675096014
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523675110725
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523675112776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1523675116146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675116936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523675116956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675125377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675127747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523675127777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675136728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675145458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675147839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675153702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675159367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523675160647
