what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1523677198140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677208631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677210981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677211761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523677211791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677215239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677228626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677231190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677234450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677236550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677253735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677254885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677257385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677258825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677260835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677262065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677264216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677265216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677267712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677268515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677269418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677270148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677271158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677271888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677274802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677275211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1523677276274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677280724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523677280754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677282334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677284395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677284465
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523677314494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677318894
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523677319904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677320584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523677320614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677321745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677324411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677327068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677327178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677367289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677368579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1523677368609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523677371312
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523677373842
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523677375472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677420168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677423449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677423779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677424129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677429794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677431824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523677440205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677443485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677443795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677444075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677444401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523677444671
