what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523669412414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523669417255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523669420235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523669430947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523669435777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523669438728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523669440878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523669448869
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1523669458611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523669462071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523669472672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523669476993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1523669481944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523669486988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1523669492676
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1523669493866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669494156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669506947
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1523669511399
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1523669511519
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1523669511519
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1523669511609
error,log,,,"Unable to validate connection settings.",1523669522710
error,log,,,"Unable to validate connection settings.",1523669522720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669522740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669534832
error,log,,,"Unable to validate connection settings.",1523669550344
error,log,,,"Unable to validate connection settings.",1523669550354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669550354
error,log,,,"Unable to validate connection settings.",1523669552024
error,log,,,"Unable to validate connection settings.",1523669552034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669553804
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1523669564605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669564865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669564965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669566265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523669579697
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1523669585408
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1523669585888
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1523669585938
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1523669585958
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1523669585958
